	x		sin^2(x)	sin^2'(x) a.	sin^2'(x) par.	sin^2''(x) a.	sin^2''(x) par.
5.300027	0.692644	-0.922796		-0.926608		-0.770577		-0.770688
5.310027	0.683378	-0.930317		-0.933945		-0.733513		-0.733733
5.320027	0.674039	-0.937466		-0.940907		-0.696155		-0.696182
5.330028	0.664630	-0.944239		-0.947493		-0.658519		-0.658631
5.340028	0.655155	-0.950636		-0.953692		-0.620619		-0.619888
5.350028	0.645618	-0.956651		-0.959522		-0.582471		-0.582933
5.360028	0.636023	-0.962284		-0.964963		-0.544090		-0.544190
5.370028	0.626373	-0.967533		-0.970018		-0.505492		-0.505447
5.380029	0.616673	-0.972394		-0.974685		-0.466691		-0.466704
5.390029	0.606926	-0.976866		-0.978965		-0.427704		-0.427961
5.400029	0.597136	-0.980948		-0.982845		-0.388545		-0.388026
5.410029	0.587308	-0.984637		-0.986344		-0.349231		-0.349879
5.420030	0.577444	-0.987932		-0.989437		-0.309778		-0.309348
5.430030	0.567550	-0.990832		-0.992137		-0.270200		-0.270009
5.440030	0.557629	-0.993336		-0.994444		-0.230515		-0.230670
5.450030	0.547684	-0.995442		-0.996351		-0.190737		-0.190735
5.460031	0.537721	-0.997150		-0.997865		-0.150883		-0.151396
5.470031	0.527742	-0.998460		-0.998968		-0.110968		-0.110269
5.480031	0.517752	-0.999370		-0.999683		-0.071010		-0.071526
5.490031	0.507756	-0.999880		-0.999990		-0.031022		-0.030994
5.500031	0.497756	-0.999990		-0.999901		0.008977		0.008941
5.510032	0.487757	-0.999700		-0.999412		0.048973		0.048876
5.520032	0.477763	-0.999011		-0.998521		0.088950		0.089109
5.530032	0.467777	-0.997921		-0.997233		0.128891		0.128746
5.540032	0.457805	-0.996433		-0.995547		0.168780		0.168681
5.550033	0.447850	-0.994546		-0.993457		0.208602		0.208914
5.560033	0.437915	-0.992261		-0.990978		0.248340		0.247955
5.570033	0.428005	-0.989579		-0.988096		0.287979		0.288188
5.580033	0.418124	-0.986502		-0.984821		0.327503		0.327528
5.590034	0.408276	-0.983029		-0.981152		0.366896		0.366867
5.600034	0.398465	-0.979164		-0.977090		0.406142		0.406206
5.610034	0.388694	-0.974907		-0.972638		0.445226		0.445247
5.620034	0.378967	-0.970260		-0.967798		0.484131		0.483990
5.630034	0.369289	-0.965225		-0.962567		0.522843		0.523031
5.640035	0.359664	-0.959804		-0.956956		0.561346		0.561178
5.650035	0.350094	-0.953998		-0.950956		0.599624		0.599921
5.660035	0.340584	-0.947812		-0.944582		0.637662		0.637472
5.670035	0.331139	-0.941246		-0.937828		0.675445		0.675321
5.680036	0.321760	-0.934303		-0.930697		0.712959		0.713170
5.690036	0.312453	-0.926987		-0.923195		0.750186		0.750125
5.700036	0.303221	-0.919300		-0.915325		0.787114		0.787079
5.710036	0.294068	-0.911245		-0.907087		0.823727		0.823736
5.720037	0.284997	-0.902826		-0.898486		0.860011		0.860095
5.730037	0.276012	-0.894046		-0.889528		0.895950		0.895858
5.740037	0.267117	-0.884908		-0.880212		0.931531		0.931621
5.750037	0.258315	-0.875416		-0.870544		0.966740		0.966787
5.760037	0.249610	-0.865574		-0.860529		1.001562		1.001656
5.770038	0.241004	-0.855386		-0.850168		1.035983		1.036078
5.780038	0.232503	-0.844855		-0.839469		1.069989		1.069903
5.790038	0.224108	-0.833987		-0.828433		1.103568		1.103580
5.800038	0.215824	-0.822785		-0.817065		1.136705		1.136810
5.810039	0.207653	-0.811254		-0.805372		1.169388		1.169294
5.820039	0.199599	-0.799398		-0.793354		1.201603		1.201779
5.830039	0.191666	-0.787223		-0.781022		1.233337		1.233220
5.840039	0.183856	-0.774733		-0.768375		1.264578		1.264662
5.850039	0.176172	-0.761932		-0.755423		1.295313		1.295209
5.860040	0.168618	-0.748828		-0.742166		1.325530		1.325756
5.870040	0.161196	-0.735423		-0.728615		1.355217		1.355112
5.880040	0.153910	-0.721724		-0.714771		1.384361		1.384318
5.890040	0.146762	-0.707737		-0.700641		1.412952		1.413077
5.900041	0.139756	-0.693467		-0.686231		1.440978		1.440942
5.910041	0.132893	-0.678919		-0.671548		1.468427		1.468361
5.920041	0.126178	-0.664099		-0.656594		1.495289		1.495332
5.930041	0.119612	-0.649014		-0.641378		1.521553		1.521558
5.940042	0.113198	-0.633670		-0.625905		1.547208		1.547262
5.950042	0.106939	-0.618071		-0.610183		1.572244		1.572222
5.960042	0.100837	-0.602226		-0.594216		1.596651		1.596734
5.970042	0.094895	-0.586140		-0.578012		1.620420		1.620352
5.980042	0.089115	-0.569819		-0.561576		1.643540		1.643598
5.990043	0.083499	-0.553270		-0.544916		1.666003		1.666024
